model,accuracy,precision,recall,f1_score,roc_auc
Naive Bayes,0.9902120717781403,0.9811912225705329,1.0,0.990506329113924,0.9991054313099041
Logistic Regression,0.9885807504078303,0.9872611464968153,0.9904153354632588,0.988835725677831,0.9992864749733759
Dense Neural Network,0.9853181076672104,0.9840764331210191,0.987220447284345,0.9856459330143541,0.9984132055378061
LSTM,0.8564437194127243,0.987012987012987,0.7284345047923323,0.8382352941176471,0.91709797657082
